지역,회사명,제목,링크
서울 강서구,㈜엑셈,"[AI·빅데이터] AI 엔지니어, 데이터 사이언티스트, 인프라",https://www.jobkorea.co.krhttps://www.jobkorea.co.kr/Recruit/GI_Read/48536953?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0&listno=14&sc=630
서울 서초구,주식회사 데이터스트림즈,빅데이터 및 데이터 처리 솔루션 영업대표 채용,https://www.jobkorea.co.krhttps://www.jobkorea.co.kr/Recruit/GI_Read/48525041?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0&listno=15&sc=630
경기 성남시,㈜카카오,Data Engineer (경력),https://www.jobkorea.co.krhttps://www.jobkorea.co.kr/Recruit/GI_Read/48301289?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0&listno=16&sc=630
서울 용산구,씨제이올리브영(주),Forward Deployed Data Scientist,https://www.jobkorea.co.krhttps://www.jobkorea.co.kr/Recruit/GI_Read/48410760?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0&listno=17&sc=630
경기 성남시,㈜넥슨,[인텔리전스랩스그룹] 게임 데이터 분석가,https://www.jobkorea.co.krhttps://www.jobkorea.co.kr/Recruit/GI_Read/48563189?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0&listno=18&sc=630
서울 영등포구,나이스지니데이타㈜,NICE지니데이타 (주) 데이터 엔지니어 채용,https://www.jobkorea.co.krhttps://www.jobkorea.co.kr/Recruit/GI_Read/48536212?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0&listno=19&sc=630
서울 송파구 외 9,힐티코리아㈜,"[힐티코리아] 경력직 채용 - 영업, 마케팅",https://www.jobkorea.co.krhttps://www.jobkorea.co.kr/Recruit/GI_Read/48553012?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0&listno=20&sc=630
서울 중구,㈜웅진,DBA(Database Administrator)모집,https://www.jobkorea.co.krhttps://www.jobkorea.co.kr/Recruit/GI_Read/48555368?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0&listno=1&sc=551
서울 송파구 외 1,㈜시오랩,"[강소기업] 보안솔루션 유지보수 엔지니어 모집(과장,차장)",https://www.jobkorea.co.krhttps://www.jobkorea.co.kr/Recruit/GI_Read/48553257?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0&listno=2&sc=551
울산 북구,현대오토에버㈜,머신비전 시스템 운영 (울산),https://www.jobkorea.co.krhttps://www.jobkorea.co.kr/Recruit/GI_Read/48534260?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0&listno=3&sc=551
충북 청주시 외 6,㈜엠비젼,[재택가능] 비전 검사장비 엔지니어 - S/W 개발&셋업,https://www.jobkorea.co.krhttps://www.jobkorea.co.kr/Recruit/GI_Read/48578478?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0&listno=1&sc=552
서울 강남구,㈜케이엠에스테크놀로지,IT 보안 솔루션 컨설턴트 (경력) 채용,https://www.jobkorea.co.krhttps://www.jobkorea.co.kr/Recruit/GI_Read/48555914?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0&listno=2&sc=552
서울 중구,㈜웅진,SAP Business One개발자 모집,https://www.jobkorea.co.krhttps://www.jobkorea.co.kr/Recruit/GI_Read/48555578?Oem_Code=C1&logpath=1&stext=%EB%8D%B0%EC%9D%B4%ED%84%B0&listno=3&sc=552
